100  0  0.001619
100  1  0.001774
100  2  0.001948
100  3  0.002193
100  4  0.002587
100  5  0.002953
100  6  0.004458
1000  0  0.001787
1000  1  0.001937
1000  2  0.002117
1000  3  0.002464
1000  4  0.003238
1000  5  0.004677
1000  6  0.007784
10000  0  0.004124
10000  1  0.003382
10000  2  0.003421
10000  3  0.003756
10000  4  0.00437
10000  5  0.006254
10000  6  0.01035
100000  0  0.034071
100000  1  0.022061
100000  2  0.02018
100000  3  0.02077
100000  4  0.021288
100000  5  0.022971
100000  6  0.025895
1000000  0  0.40798
1000000  1  0.226477
1000000  2  0.226467
1000000  3  0.230514
1000000  4  0.227135
1000000  5  0.233921
1000000  6  0.235446
10000000  0  5.047247
10000000  1  2.795218
10000000  2  2.796033
10000000  3  3.064902
10000000  4  3.042641
10000000  5  2.767484
10000000  6  2.761477
100000000  0  60.800286
100000000  1  33.56678
100000000  2  32.909045
100000000  3  32.806364
100000000  4  32.817645
100000000  5  32.855744
100000000  6  32.896064
